"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1358367,.1705557,.201517,.2069447,.2124497,.2152314,0,0,0,1551,20473
.1,1.470633,1.807487,2.10289,2.15372,2.204978,2.230768,0,0,0,1458,19156
.2,2.740262,3.309018,3.804518,3.888806,3.973511,4.016016,1.929873,1.952451,1.975129,1647,21831
.3,4.262715,5.061956,5.757843,5.875157,5.992733,6.051612,4.08811,4.131157,4.174303,1589,21008
.4,5.626246,6.597396,7.446772,7.58913,7.731541,7.802754,5.921538,5.979314,6.037152,1550,20459
.5,6.979077,8.09641,9.07948,9.243743,9.407895,9.489922,7.674087,7.744223,7.814367,1530,20172
.6,8.325708,9.569444,10.67243,10.85618,11.03965,11.13126,9.367639,9.448601,9.529527,1519,20021
.7,9.669207,11.02378,12.2348,12.43617,12.63709,12.73736,11.0184,11.10897,11.19944,1514,19950
.8,11.01181,12.46422,13.7738,13.99128,14.20818,14.31639,12.63571,12.73494,12.83403,1515,19957
.9,12.3552,13.89464,15.29494,15.52724,15.75876,15.87419,14.22709,14.33425,14.44124,1515,19951
1,13.69196,15.30898,16.79132,17.03674,17.28112,17.40292,15.78572,15.90007,16.01419,1483,19508
1.1,15.00716,16.6921,18.24633,18.50325,18.75898,18.88638,17.29431,17.41492,17.53525,1421,18631
1.2,16.29099,18.03284,19.65007,19.91729,20.18322,20.31567,18.74418,18.8703,18.99609,1348,17605
1.3,17.54665,19.33557,21.0092,21.28584,21.56112,21.69824,20.14407,20.27518,20.40593,1295,16871
1.4,18.78411,20.61289,22.33815,22.62354,22.90755,23.04903,21.51005,21.64579,21.78115,1266,16464
1.5,20.01283,21.87654,23.64987,23.94352,24.23577,24.38137,22.85611,22.9962,23.1359,1255,16301
1.6,21.23897,23.13406,24.95267,25.25416,25.55429,25.70381,24.19118,24.3354,24.47924,1253,16283
1.7,22.46625,24.38994,26.25154,26.56055,26.86822,27.02151,25.52062,25.66882,25.81662,1258,16355
1.8,23.69716,25.6472,27.54982,27.86607,28.18098,28.33792,26.84806,27.00008,27.15169,1268,16490
1.9,24.93346,26.90796,28.84989,29.17312,29.49506,29.65551,28.17607,28.33178,28.48707,1281,16672
2,26.17649,28.17382,30.15355,30.48353,30.81227,30.97614,29.50658,29.66586,29.82472,1297,16891
2.1,27.42731,29.44604,31.46219,31.79872,32.13406,32.30124,30.84112,31.00386,31.16619,1315,17141
2.2,28.68681,30.72566,32.77698,33.11988,33.46163,33.63203,32.18093,32.34705,32.51274,1334,17418
2.3,29.95569,32.01352,34.09887,34.44796,34.79597,34.96952,33.52705,33.69645,33.86544,1356,17718
2.4,31.23456,33.31034,35.42865,35.78378,36.13788,36.3145,34.88033,35.05293,35.22514,1379,18038
2.5,32.52398,34.61676,36.76704,37.12804,37.48791,37.66733,36.24154,36.41726,36.5926,1403,18383
2.6,33.82502,35.93395,38.11435,38.48069,38.8466,39.02938,37.61171,37.79023,37.9683,1430,18760
2.7,35.13694,37.26117,39.47243,39.84508,40.21672,40.40215,38.98979,39.17192,39.35363,1454,19094
2.8,36.4603,38.59862,40.84007,41.21794,41.59505,41.78326,40.3794,40.56412,40.74847,1482,19495
2.9,37.79617,39.94899,42.21839,42.6016,42.98415,43.17231,41.77824,41.96581,42.15303,1511,19897
3,39.1221,41.28794,43.57055,43.94495,44.3159,44.49853,43.15974,43.34243,43.52507,1420,18619
3.1,40.37741,42.55505,44.82586,45.20026,45.5712,45.75385,44.41539,44.59776,44.78038,1228,15925
3.2,41.53518,43.71758,45.98376,46.36464,46.74371,46.93153,45.57316,45.75554,45.93826,1020,13034
3.3,42.58387,44.76627,47.04663,47.4291,47.80906,47.99726,46.63238,46.81832,47.00528,812,10189
3.4,43.50439,45.68679,47.97541,48.35843,48.73883,48.92722,47.56349,47.74979,47.93709,588,7157
3.5,44.28443,46.46748,48.75898,49.14225,49.52283,49.71129,48.34817,48.53463,48.72211,422,4963
3.6,44.95797,47.14149,49.43399,49.81736,50.19801,50.38649,49.02366,49.21021,49.39775,315,3588
3.7,45.54914,47.73285,50.02577,50.40918,50.78984,50.97832,49.61564,49.80223,49.9898,244,2682
3.8,46.07027,48.25405,50.54715,50.93057,51.00637,51.03362,50.13708,50.32369,50.51127,187,1981
3.9,46.53362,48.71743,51.0106,51.0276,51.00637,51.03362,50.60055,50.78716,50.97474,148,1512
4,46.94662,49.13045,51.0106,51.0276,51.00637,51.03362,51.01359,51.04063,51.0182,116,1130
4.09,47.2833,49.46713,51.0106,51.0276,51.00637,51.03362,51.01359,51.04063,51.0182,98,918
4.2,47.6266,49.81043,51.0106,51.0276,51.00637,51.03362,51.01359,51.04063,51.0182,81,728
4.3,47.94161,50.12544,51.0106,51.0276,51.00637,51.03362,51.01359,51.04063,51.0182,68,579
4.4,48.23228,50.41611,51.0106,51.0276,51.00637,51.03362,51.01359,51.04063,51.0182,58,473
4.5,48.50134,50.68517,51.0106,51.0276,51.00637,51.03362,51.01359,51.04063,51.0182,49,379
