"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1552275,.2159985,.2601407,.2656899,.2713154,.274157,.2770178,.279898,.2827977,1562,46773
.1,1.710473,2.355873,2.820657,2.878631,2.937298,2.966892,2.99666,3.026603,3.05672,1581,47406
.2,3.11503,4.253474,5.068316,5.169352,5.271458,5.32291,5.37463,5.426615,5.478868,1600,48016
.3,4.83825,6.541289,7.753001,7.902289,8.052947,8.128783,8.204962,8.281478,8.358327,1625,48802
.4,6.410606,8.592966,10.13997,10.32961,10.52077,10.61692,10.71344,10.81033,10.9076,1646,49468
.5,7.989322,10.62313,12.48474,12.71192,12.9407,13.05568,13.17106,13.28682,13.40297,1670,50244
.6,9.574538,12.63444,14.79256,15.05487,15.31881,15.45137,15.58432,15.71766,15.85139,1695,51044
.7,11.1652,14.626,17.0644,17.35972,17.65663,17.80567,17.95509,18.10489,18.25507,1708,51469
.8,12.74967,16.56946,19.27152,19.59776,19.92555,20.09,20.25481,20.42,20.58553,1603,48113
.9,14.30057,18.40052,21.3465,21.70135,22.05769,22.23639,22.41543,22.59482,22.77454,1561,46757
1,15.85584,20.21908,23.3985,23.78065,24.1642,24.35646,24.54905,24.74197,24.93519,1582,47420
1.1,17.41746,22.03097,25.4346,25.84289,26.25248,26.45772,26.66327,26.8691,27.07522,1616,48503
1.2,18.99096,23.8497,27.46994,27.90339,28.33803,28.55575,28.77375,28.99201,29.21052,1632,49013
1.3,20.56466,25.64911,29.47708,29.93464,30.39327,30.62295,30.85286,31.083,31.31336,1651,49652
1.4,22.14527,27.44538,31.47391,31.9547,32.43644,32.67761,32.91901,33.16058,33.40234,1678,50518
1.5,23.73355,29.24076,33.46328,33.9665,34.47054,34.72282,34.97528,35.22789,35.48064,1710,51525
1.6,25.331,31.03889,35.44948,35.97441,36.50003,36.76302,37.02619,37.28947,37.55285,1749,52791
1.7,26.93964,32.84435,37.43768,37.98367,38.5302,38.8036,39.07714,39.35074,39.62443,1795,54266
1.8,28.55984,34.65807,39.42917,39.99559,40.56243,40.84593,41.12954,41.41315,41.69682,1841,55759
1.9,30.19153,36.48001,41.42413,42.01043,42.59699,42.8903,43.18369,43.47703,43.77039,1888,57271
2,31.83463,38.31011,43.42276,44.02839,44.63413,44.93697,45.23986,45.54266,45.84544,1935,58802
2.1,33.48906,40.14834,45.42524,46.04967,46.67408,46.98621,47.29834,47.61033,47.92229,1983,60352
2.2,35.15445,41.99407,47.43109,48.07384,48.71643,49.03761,49.35872,49.67967,50.00054,2018,61486
2.3,36.76882,43.72977,49.31564,49.97573,50.63556,50.96531,51.29497,51.62442,51.95378,1717,51771
2.4,38.35863,45.41117,51.13781,51.81454,52.4909,52.82889,53.16677,53.50441,53.84192,1690,50907
2.5,39.94328,47.07547,52.93754,53.63041,54.32281
