"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1644121,.221473,.2437481,.2464319,.2491294,.2504833,0,0,0,1918,58248
.1,1.810488,2.414906,2.651033,2.679378,2.707844,2.722123,0,0,0,1933,58747
.2,3.31997,4.389964,4.808424,4.858503,4.908765,4.933965,2.289702,2.301711,2.313745,2068,63108
.3,5.170339,6.77119,7.398635,7.47348,7.548544,7.58616,5.026721,5.052244,5.077813,2093,63925
.4,6.857684,8.908106,9.714043,9.80993,9.906043,9.954188,7.463639,7.500518,7.53745,2115,64664
.5,8.550779,11.02342,11.99842,12.11415,12.2301,12.28816,9.860023,9.907519,9.955069,2142,65522
.6,10.2493,13.11871,14.25441,14.38894,14.52365,14.59108,12.2198,12.27727,12.33479,2158,66058
.7,11.94023,15.16751,16.45552,16.6078,16.76024,16.83652,14.51621,14.58304,14.64991,2028,61826
.8,13.55287,17.02788,18.45584,18.62444,18.79316,18.87756,16.59811,16.67348,16.74888,1707,51455
.9,15.1464,18.83185,20.39296,20.57708,20.76128,20.8534,18.61046,18.69391,18.7774,1722,51917
1,16.74451,20.62844,22.31816,22.51726,22.71637,22.81594,20.6072,20.69841,20.78966,1750,52839
1.1,18.35912,22.44071,24.2556,24.46923,24.68283,24.78962,22.61367,22.71239,22.81115,1800,54450
1.2,19.96806,24.2278,26.16321,26.39084,26.61838,26.73212,24.58647,24.69241,24.79836,1778,53743
1.3,21.58144,26.00937,28.0616,28.30278,28.54382,28.66429,26.54722,26.66013,26.77304,1805,54616
1.4,23.20271,27.79219,29.95798,30.21233,30.46648,30.59349,28.50359,28.62326,28.74291,1842,55783
1.5,24.83533,29.58265,31.85913,32.12629,32.3932,32.52657,30.4627,30.58894,30.71514,1897,57592
1.6,26.48415,31.38939,33.77409,34.05377,34.33314,34.47272,32.43401,32.56664,32.69922,1971,59983
1.7,28.15078,33.21512,35.70576,35.99767,36.28923,36.43487,34.42057,34.55944,34.69825,2048,62471
1.8,29.83518,35.05969,37.65408,37.95794,38.2614,38.41297,36.42237,36.56732,36.7122,2127,65028
1.9,31.53733,36.92302,39.61901,39.93458,40.24967,40.40702,38.43945,38.59034,38.74113,2207,67662
2,33.2573,38.8051,41.60062,41.92765,42.25413,42.41714,40.47192,40.62862,40.78519,2291,70383
2.1,34.97735,40.67616,43.56842,43.90659,44.24415,44.41268,42.48859,42.65094,42.81313,2090,63839
2.2,36.55998,42.32356,45.30083,45.64919,45.99691,46.17051,44.26234,44.4299,44.59728,1496,44673
2.3,38.0765,43.87185,46.92505,47.2829,47.64015,47.81851,45.92377,46.09623,46.26851,1395,41430
2.4,39.56717,45.38324,48.50628,48.87319,49.23954,49.42247,47.53992,47.71709,47.89408,1319,39008
2.5,41.03615,46.86538,50.05221,50.42775,50.80281,50.99011,49.11876,49.30045,49.48195,1254,36975
2.6,42.48572,48.32285,51.5674,51.95117,52.33455,52.52605,50.66498,50.85103,51.0369,1198,35193
2.7,43.91757,49.75907,53.05527,53.44686,53.8382,54.03372,52.18214,52.37238,52.56244,1149,33650
2.8,45.05398,51.18186,54.52478,54.92385,55.32283,55.52221,53.67951,53.87378,54.0679,1135,33199
2.9,45.05398,52.60686,55.99466,56.40103,56.80747,57.01064,55.17654,55.37476,55.57285,1152,33733
3,45.05398,54.03763,57.46921,57.88275,58.29652,58.50341,56.67768,56.8798,57.08178,1169,34271
3.1,45.05398,55.47416,58.94845,59.36903,59.79,60.00054,58.18299,58.38893,58.59475,1186,34814
3.2,45.05398,56.91644,60.43241,60.85989,61.28794,61.50206,59.6925,59.90219,60.11178,1204,35362
3.3,45.05398,58.36445,61.92109,62.35534,62.79035,63.008,61.20622,61.4196,61.63291,1221,35914
3.4,45.05398,59.81818,63.41449,63.8554,64.29723,64.51838,62.72419,62.9412,63.15815,1239,36470
3.5,45.05398,61.27763,64.91264,65.3601,65.80865,66.03318,64.24641,64.46702,64.68755,1256,37031
3.6,45.05398,62.74277,66.41557,66.86944,67.32457,67.55242,65.77295,65.99706,66.22112,1274,37597
3.7,45.05398,64.21361,67.92325,68.38343,68.84504,69.07621,67.3038,67.53136,67.75889,1292,38167
3.8,45.05398,65.69012,69.43571,69.90208,70.37006,70.60448,68.83897,69.06995,69.30088,1310,38742
3.9,45.05398,67.17229,70.95296,71.42542,71.89966,72.13726,70.37852,70.61282,70.84712,1328,39321
4,45.05398,68.66012,72.47502,72.95345,73.43385,73.67458,71.92245,72.16003,72.39764,1347,39905
4.09,45.05398,70.00398,73.84898,74.3327,74.81854,75.06204,73.31573,73.55623,73.79677,1363,40435
4.2,45.05398,71.50252,75.38019,75.86967,76.36148,76.608,74.86801,75.11171,75.35545,1382,41028
4.3,45.05398,73.00667,76.91621,77.41135,77.90903,78.15854,76.42474,76.67155,76.91846,1401,41625
4.4,45.05398,74.51642,78.45705,78.95778,79.46121,79.71365,77.98591,78.2358,78.48582,1420,42227
4.5,45.05398,76.03156,80.00256,80.50875,81.01783,81.27301,79.55125,79.80421,80.0573,1432,42625
4.6,45.05398,77.50974,81.50909,82.01697,82.0853,82.04035,81.06969,81.32526,81.58035,1164,34099
4.7,45.05398,78.85516,82.07192,82.01697,82.0853,82.04035,82.03925,82.02625,82.00633,801,22778
4.8,45.05398,80.08157,82.07192,82.01697,82.0853,82.04035,82.03925,82.02625,82.00633,575,15861
4.9,45.05398,81.18411,82.07192,82.01697,82.0853,82.04035,82.03925,82.02625,82.00633,374,9834
5,45.05398,82.04752,82.07192,82.01697,82.0853,82.04035,82.03925,82.02625,82.00633,196,4742
5.1,45.05398,82.04752,82.07192,82.01697,82.0853,82.04035,82.03925,82.02625,82.00633,66,1267
