"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.150763,.1528242,.1577945,.1584725,.159163,.1595125,.1598647,.1602194,.1605765,1407,18896
.1,1.663399,1.685513,1.73932,1.746671,1.75416,1.75795,1.76177,1.765617,1.76949,1438,19337
.2,3.032531,3.071855,3.168306,3.181503,3.194947,3.201753,3.208611,3.215519,3.222474,1465,19738
.3,4.715858,4.775191,4.922137,4.942278,4.962801,4.97319,4.983663,4.99421,5.00483,1500,20235
.4,6.254509,6.330894,6.522125,6.548387,6.57515,6.588703,6.602362,6.616122,6.629975,1528,20636
.5,7.802136,7.894745,8.12889,8.161105,8.193943,8.210572,8.227335,8.244221,8.261224,1560,21098
.6,9.358704,9.466745,9.742484,9.780491,9.81924,9.838864,9.85865,9.87858,9.898651,1592,21566
.7,10.92417,11.0469,11.36296,11.4066,11.4511,11.47364,11.49637,11.51927,11.54233,1624,22039
.8,12.49852,12.6352,12.99034,13.03947,13.08958,13.11496,13.14056,13.16635,13.19232,1657,22518
.9,14.08169,14.23166,14.62469,14.67916,14.73472,14.76288,14.79126,14.81987,14.84868,1691,23002
1,15.67367,15.83627,16.26604,16.3257,16.38658,16.41744,16.44855,16.4799,16.51148,1724,23492
1.1,17.27441,17.44903,17.91441,17.97914,18.0452,18.07869,18.11245,18.14648,18.18075,1758,23987
1.2,18.88389,19.06993,19.56985,19.63951,19.71062,19.74667,19.78302,19.81966,19.85656,1793,24488
1.3,20.49923,20.69613,21.22943,21.30376,21.37957,21.41796,21.45663,21.49559,21.53476,1742,23742
1.4,21.75737,21.95893,22.10508,22.05585,22.13143,22.03555,22.07412,22.11283,22.00704,177,1899
