"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1632221,.168501,.1750281,.175854,.176688,.1771078,.1775294,.1779527,.1783775,1869,25596
.1,1.798076,1.853781,1.924176,1.9331,1.942113,1.94665,1.951206,1.955781,1.960373,1888,25885
.2,3.273656,3.371303,3.497077,3.513048,3.529181,3.537304,3.545461,3.553652,3.561874,1907,26158
.3,5.082782,5.227668,5.418561,5.442853,5.467397,5.479755,5.492168,5.504631,5.517143,1931,26507
.4,6.723287,6.904883,7.151721,7.183238,7.215092,7.231136,7.247251,7.263434,7.279682,1844,25234
.5,8.331407,8.537559,8.834463,8.872663,8.911307,8.93078,8.950346,8.970002,8.98974,1740,23718
.6,9.9223,10.14644,10.48903,10.53351,10.57854,10.60125,10.62408,10.64702,10.67006,1680,22850
.7,11.49643,11.73336,12.11729,12.16765,12.21869,12.24445,12.27036,12.2964,12.32258,1615,21899
.8,13.05612,13.30204,13.72326,13.77912,13.83582,13.86446,13.89327,13.92225,13.95138,1561,21114
.9,14.60296,14.85508,15.30977,15.37079,15.43281,15.46416,15.49572,15.52747,15.55942,1522,20561
1,16.13521,16.3913,16.8755,16.94131,17.0083,17.0422,17.07634,17.11071,17.14531,1466,19752
1.1,17.65648,17.91513,18.42546,18.49575,18.5674,18.60369,18.64027,18.67712,18.71422,1436,19307
1.2,19.16431,19.42444,19.95736,20.03178,20.10777,20.14631,20.18517,20.22434,20.2638,1386,18598
1.3,20.57437,20.83515,21.01119,21.0883,21.02359,21.0634,21.10356,21.14406,21.03286,515,6348
