"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1531063,.1557157,.1609607,.1616607,.1623719,.1627314,.1630932,.1634574,.1638237,1487,20046
.1,1.688549,1.716386,1.773093,1.780676,1.788381,1.792276,1.796197,1.800143,1.804113,1515,20449
.2,3.07727,3.126526,3.22806,3.24166,3.255482,3.26247,3.269505,3.276585,3.283708,1540,20816
.3,4.783388,4.857277,5.011761,5.032496,5.053578,5.064237,5.074968,5.085768,5.096635,1572,21273
.4,6.341539,6.43618,6.636976,6.663988,6.691458,6.705348,6.719336,6.733412,6.747578,1590,21544
.5,7.899183,8.011727,8.256375,8.28941,8.323016,8.340014,8.357135,8.374365,8.391708,1582,21418
.6,9.458335,9.586589,9.872927,9.911756,9.951275,9.971268,9.991412,10.01169,10.0321,1591,21555
.7,11.02019,11.16238,11.48845,11.53286,11.57809,11.60098,11.62404,11.64726,11.67063,1599,21675
.8,12.58483,12.73937,13.10329,13.15309,13.20382,13.2295,13.25539,13.28145,13.3077,1612,21858
.9,14.15274,14.31826,14.71827,14.77326,14.82931,14.8577,14.88632,14.91514,14.94416,1626,22065
1,15.72413,15.89943,16.33386,16.39386,16.45506,16.48605,16.51731,16.54881,16.58052,1636,22208
1.1,17.29898,17.48297,17.95019,18.01503,18.08119,18.11472,18.14854,18.18261,18.21693,1652,22444
1.2,18.87758,19.06931,19.56779,19.63729,19.70826,19.74423,19.78053,19.8171,19.85395,1664,22606
1.3,20.45662,20.65512,21.18322,21.25714,21.3326,21.37082,21.40936,21.44818,21.48726,1584,21458
1.4,21.04267,21.88487,22.0298,22.10415,22.05924,22.09749,22.00555,22.04436,22.08335,178,1917
