"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1703841,.1752884,.1841979,.185345,.1865047,.1870888,.1876756,.1882649,.1888566,2178,30140
.1,1.873231,1.923709,2.017269,2.029342,2.041549,2.047698,2.053875,2.060078,2.066307,2171,30025
.2,3.404632,3.491311,3.654791,3.675936,3.697318,3.708089,3.71891,3.729777,3.740687,2166,29961
.3,5.275576,5.401248,5.643198,5.674585,5.706331,5.722327,5.738396,5.754535,5.770739,2164,29929
.4,6.948312,7.102196,7.403908,7.443068,7.482657,7.502596,7.522623,7.542733,7.562919,1839,25168
.5,8.542022,8.712092,9.05566,9.100533,9.145926,9.168798,9.191777,9.214856,9.238026,1631,22133
.6,10.08758,10.26846,10.64422,10.69363,10.74366,10.76888,10.79423,10.81969,10.84526,1464,19714
.7,11.58282,11.77061,12.17038,12.22333,12.27698,12.30405,12.33126,12.35861,12.38608,1305,17430
.8,13.03377,13.22601,13.64384,13.69955,13.75606,13.78459,13.81328,13.84212,13.87111,1164,15408
.9,14.44393,14.63898,15.07035,15.12823,15.187,15.21669,15.24655,15.27658,15.30678,1054,13850
1,15.80679,16.00349,16.44433,16.50381,16.56426,16.59481,16.62556,16.65649,16.6876,927,12052
1.1,17.12997,17.32762,17.77519,17.83589,17.89762,17.92884,17.96027,17.99191,18.02373,846,10911
1.2,18.40981,18.60799,19.06011,19.12167,19.18433,19.21602,19.24796,19.28009,19.31244,736,9372
1.3,19.64196,19.84041,20.29536,20.35748,20.42074,20.45275,20.48499,20.51745,20.55012,621,7797
1.4,20.63037,20.82888,21.04358,21.01421,21.07751,21.01219,21.04445,21.07691,21.00633,114,1135
